ID,Question,Option1,Option2,Option3,Option4,Option5,Correct,Active
1,Авторские рассуждения на,эссе,монография,диссертация,автореферат,статья,1,TRUE
2,Важнейшее отличие диссертации от,форма существования: монография,нет отличий,"диссертация – это научный труд, а",диссертация – это художественное,монография – это краткое,1,TRUE
3,Для сферы научной информации,"реферат, аннотация и рецензия","заявление, приказ,","удостоверение, паспорт","журнал, книга","роман, эссе",1,TRUE
4,"Доводы, используемые автором для",аргументы,причины,следствия,анализ,синтез,1,TRUE
5,Заключение следует после,основной части,введения,актуальности,материалов и методов,аннотации,1,TRUE
6,Заключительный этап создания,оформление,написание основной части,написание выводов,написание актуальности,написание введения,1,TRUE
7,"Из перечисленного, частями",введение,заключение,основная часть,"а), б) и в) вместе","вступление, результаты",1,TRUE
8,"Иллюстративный материал, который",графиком,таблицей,компакт-диском,иллюстрацией,наглядностью,1,TRUE
9,К видам академического письма не,язык средств массовой информации,лекция,монография,диссертация,доклад,1,TRUE
10,К видам академического письма,лекция,статья из новостной газеты,роман,повесть,рассказ,1,TRUE
11,"Книгой, помогающей адресату",учебник,путеводитель,монография,статья,доклад,1,TRUE
12,Краткое устное или письменное,реферат,доклад,рукопись,диссертация,статья,1,TRUE
13,"Материалы, не являющиеся",в приложения,в введение,в заключение,в выводы,в основной части,1,TRUE
14,Освоить какой-либо фрагмент,учебное пособие,статья,монография,диссертация,доклад,1,TRUE
15,Основной формой речи научного,письменная,устная,диалоговая,интервью,в) и г) вместе,1,TRUE
16,Основную содержательную,термины,аббревиатуры,переводчик,понятия,СМИ,1,TRUE
17,"Основные положения книги, статьи",тезисы,эссе,план,содержание,вступление,1,TRUE
18,Особым образом организованный,таблица,реферат,конспект,выводы,заключение,1,TRUE
19,Первая страница научной работы —,титульный лист,введение,«шапка»,ФИО автора,эпиграф,1,TRUE
20,Простейшей рубрикой является:,абзац,план,содержание,титульный лист,реферат,1,TRUE
21,Развернутую информацию о,реферат,монография,монолог,отчет,статья,1,TRUE
22,Краткое устное или письменное,Реферат,монография,монолог,отчет,статья,1,TRUE
23,"Род речи, помогающий",академическое,дипломатическое,национальное,деловое,духовное,1,TRUE
24,Рубрикация текста — это:,деление текста на составные части,составление плана,написание введения,создание таблиц,презентация,1,TRUE
25,"Систематическая, логическая",конспект,доклад,статья,эссе,диссертация,1,TRUE
26,"Системная организация, наличие",термина,понятия,аббревиатуры,делового языка,реферата,1,TRUE
27,"Словесное, устное или письменное",текст,диссертация,монография,реферат,статья,1,TRUE
28,"Слово или словосочетание,",термин,аббревиатура,понятие,профессионализмы,жаргонизмы,1,TRUE
29,Смысловым ядром специального,термин,аббревиатура,морфемы,профессионализмы,жаргонизмы,1,TRUE
30,"Со сферой научных исследований,",академический,технический,терминологический,учебный,образовательный,1,TRUE
31,Совокупность специальных слов,терминология,тавтология,словарь,условные обозначения,диаграмма,1,TRUE
32,Совокупность специальных,номенклатурные понятия,словарь,термины,профессионализмы,жаргонизмы,1,TRUE
33,Соотносимы с описаниями и,иллюстрации,тезисы,выводы,введение,методы,1,TRUE
34,Студенческий реферат и курсовая,учебного,научного,делового,информационного,дипломатического,1,TRUE
35,Типы конспектов — ...,плановые,текстуальные,свободные,тематические,"а, б, в, г вместе",1,TRUE
36,Учебник и учебное пособие,научно-учебного,делового,научно-популярного,масс-медийного,художественного,1,TRUE
37,"Ядро научного стиля, вокруг",академический,художественный,масс-медийный,деловой,духовный,1,TRUE
38,Наука - это...,выработка и теоретическая,учения о принципах построения,учения о формах построения,стратегия достижения цели,опыт,1,TRUE
39,Научное исследование это...,целенаправленное познание,выработка общей стратегии науки,"система методов, функционирующих","учение, позволяющее критически",средство для проведения,1,TRUE
40,Методология науки - это...,"система методов, функционирующих",целенаправленное познание,воспроизведение новых знаний,учение о принципах построения,"совокупность методов,",1,TRUE
41,Теория - это...,логическое обобщение опыта в той,выработка общей стратегии науки,целенаправленное познание,"система методов, функционирующих",совокупность целей и задач,1,TRUE
42,Основу методологии научного,диагностический метод,общий метод,обобщение общественной практики,совокупность правил какого-либо,совокупность правил определенной,1,TRUE
